method,seed,up_epoch,gamma,downstream_csv,best_clean_lin_epoch,clean_at_best_clean,pgd_at_best_clean,last_lin_epoch,clean_at_last,pgd_at_last,pgd_best_over_lin
baseline,0,10,35.066903946165226,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed0/upE10/logs/downstream/baseline/seed0/lin_history_baseline_resnet18.csv,10,0.4039,0.1285,10,0.4039,0.1285,0.1295
baseline,0,20,38.157432181853885,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed0/upE20/logs/downstream/baseline/seed0/lin_history_baseline_resnet18.csv,10,0.4774,0.1332,10,0.4774,0.1332,0.1796
baseline,0,30,36.81938609402701,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed0/upE30/logs/downstream/baseline/seed0/lin_history_baseline_resnet18.csv,8,0.5413,0.1317,10,0.54,0.1322,0.1678
baseline,0,40,35.736271466017044,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed0/upE40/logs/downstream/baseline/seed0/lin_history_baseline_resnet18.csv,10,0.5708,0.1586,10,0.5708,0.1586,0.1983
baseline,0,50,38.272348070875225,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed0/upE50/logs/downstream/baseline/seed0/lin_history_baseline_resnet18.csv,8,0.5981,0.1807,10,0.5966,0.1775,0.2084
baseline,1,1,29.713895227807715,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE1/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.2885,0.2173,10,0.2885,0.2173,0.2173
baseline,1,2,35.89490421691124,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE2/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,9,0.2913,0.188,10,0.2913,0.188,0.1907
baseline,1,3,38.73807188110743,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE3/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.3164,0.2148,10,0.3164,0.2148,0.2148
baseline,1,4,35.324730595833486,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE4/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.3263,0.1841,10,0.3263,0.1841,0.1942
baseline,1,5,33.88528944960412,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE5/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,9,0.3377,0.173,10,0.3347,0.1659,0.1805
baseline,1,6,39.37104809230322,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE6/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.355,0.1469,10,0.355,0.1469,0.1636
baseline,1,7,37.41395201246965,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE7/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,8,0.3913,0.1536,10,0.3893,0.1507,0.1781
baseline,1,8,35.5331073582015,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE8/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.3887,0.13,10,0.3887,0.13,0.1712
baseline,1,9,39.47878032338395,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE9/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.4079,0.1449,10,0.4079,0.1449,0.1572
baseline,1,10,37.666119077136194,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE10/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.4106,0.1187,10,0.4106,0.1187,0.1388
baseline,1,11,35.18832296168466,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE11/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,8,0.4236,0.129,10,0.4218,0.1299,0.1523
baseline,1,12,38.05837518921419,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE12/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.4387,0.1239,10,0.4387,0.1239,0.1687
baseline,1,13,34.91221114372512,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE13/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,5,0.4442,0.143,10,0.4431,0.1107,0.1564
baseline,1,14,35.19770523402336,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE14/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.4563,0.1255,10,0.4563,0.1255,0.159
baseline,1,15,39.27231010865797,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE15/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.4612,0.1287,10,0.4612,0.1287,0.1419
baseline,1,16,37.46476708540639,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE16/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.4703,0.1266,10,0.4703,0.1266,0.1474
baseline,1,17,39.11362808944882,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE17/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.4719,0.1475,10,0.4719,0.1475,0.1742
baseline,1,18,33.128046994095776,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE18/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.4692,0.1352,10,0.4692,0.1352,0.149
baseline,1,19,36.9103902412176,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE19/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.4874,0.1315,10,0.4874,0.1315,0.1556
