method,epoch,gamma_clean,gamma_adv,pgd_acc,test_acc
baseline,1,29.713895227807715,30.0082111260624,0.2173,0.2885
baseline,2,35.89490421691124,32.505675741358296,0.188,0.2913
baseline,3,38.73807188110743,42.72061514964151,0.2148,0.3164
baseline,4,35.324730595833486,34.119650709596826,0.1841,0.3263
baseline,5,33.88528944960412,32.05202695858803,0.1659,0.3347
baseline,6,39.37104809230322,34.74615021690192,0.1469,0.355
baseline,7,37.41395201246965,29.918138419622508,0.1507,0.3893
baseline,8,35.5331073582015,33.1829700266844,0.13,0.3887
baseline,9,39.47878032338395,37.30308968740231,0.1449,0.4079
baseline,10,37.666119077136194,32.77642961023944,0.1187,0.4106
baseline,11,35.18832296168466,35.0919833377029,0.1299,0.4218
baseline,12,38.05837518921419,33.931045468098375,0.1239,0.4387
baseline,13,34.91221114372512,29.93279029932396,0.1107,0.4431
baseline,14,35.19770523402336,33.59585533097935,0.1255,0.4563
baseline,15,39.27231010865797,32.028773090850066,0.1287,0.4612
baseline,16,37.46476708540639,37.07058658810512,0.1266,0.4703
baseline,17,39.11362808944882,34.757667969726924,0.1475,0.4719
baseline,18,33.128046994095776,32.782575259858646,0.1352,0.4692
baseline,19,36.9103902412176,33.942628107802115,0.1315,0.4874
baseline,20,35.60824926333872,34.98808283364889,0.1378,0.4877
baseline,21,33.52140665636788,34.30819564136986,0.14,0.4959
baseline,22,35.236172423956084,32.29852505475561,0.1534,0.5101
baseline,23,34.6211367610937,31.40623798605896,0.1517,0.5044
baseline,24,36.91447407605228,35.06478993896563,0.1325,0.5088
baseline,25,36.98155229875676,29.907843781940795,0.1312,0.5091
baseline,26,39.55546062904838,32.7475652712106,0.1535,0.522
baseline,27,35.75393323003469,28.93750151737224,0.1448,0.5215
baseline,28,35.24231973693528,28.774851069607564,0.1512,0.5274
baseline,29,37.92280050529971,27.89681735585393,0.1553,0.5472
baseline,30,36.77366643572602,30.764356161137368,0.1636,0.5374
phsim,1,32.04180119821362,32.9757510881571,0.2359,0.3134
phsim,2,33.461804223009416,38.0230551835799,0.2286,0.3101
phsim,3,35.82758531433654,32.63821239668864,0.2237,0.3076
phsim,4,37.61159846298685,38.35188299308603,0.2531,0.3416
phsim,5,35.15522332515588,33.06237990102506,0.2211,0.3293
phsim,6,33.35204102021973,34.47826210423874,0.2424,0.3492
phsim,7,35.093940555613905,33.60982794081831,0.2351,0.3559
phsim,8,34.18154090635787,36.27540941823346,0.2438,0.3682
phsim,9,37.06551042888535,34.31188665511176,0.226,0.3585
phsim,10,38.71370596550256,36.49145972290011,0.2384,0.3769
phsim,11,38.1971249688194,31.851988279152955,0.2311,0.3733
phsim,12,38.72278539315474,33.94825632399393,0.2268,0.3752
phsim,13,40.28747915045146,37.73870686730627,0.2166,0.3752
phsim,14,40.382366496061046,37.68899663842093,0.1942,0.3689
phsim,15,36.54250070258884,31.183333066609062,0.2147,0.3916
phsim,16,41.99848921488233,39.25339052041714,0.189,0.3781
phsim,17,38.77437489404702,35.57814098353415,0.1822,0.3784
phsim,18,39.397876421971205,31.695696765863865,0.2045,0.3999
phsim,19,41.83088928689113,35.13230921171181,0.187,0.3962
phsim,20,38.42381527925742,36.579413884905776,0.1858,0.3939
phsim,21,39.88344389319568,36.910310724088895,0.1718,0.3981
phsim,22,42.733467458164135,31.680722983878777,0.1723,0.4112
phsim,23,40.79216430059523,39.84573709970432,0.1848,0.4107
phsim,24,39.788288995691566,39.102409828105614,0.176,0.4146
phsim,25,37.439823825100575,33.37647867007736,0.1595,0.4135
phsim,26,36.26003726559572,36.94528256969614,0.1567,0.4131
phsim,27,37.96295163754331,37.60048791341765,0.1604,0.4191
phsim,28,37.99840015519212,33.535453476672515,0.1573,0.4204
phsim,29,39.12692049100648,35.16180642653116,0.1595,0.4143
phsim,30,38.08440924197903,32.618808493780854,0.1587,0.4165
